index,id,date,bedrooms_number,batchrooms_number,square_footage_home,square_footage_lot,floors_number,has_waterfront,has_been_viewed,condition_quality,housing_unity_grade,square_footage_except_basement,square_footage_only_basement,build_year,renovation_year,coordinate_latitude,coordinate_longitude,square_footage_home_old,square_footage_lot_old
0,16530,2014-05-02,2,2.0,1350,2560,1.0,0,0,3,8,1350,0,1976,0,200.6344,4.8929999999999865,1790,2560
1,3651,2014-05-02,3,1.75,1800,23103,1.0,0,0,3,7,1800,0,1968,0,200.6517,5.093999999999994,1410,18163
2,13568,2014-05-02,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,1923,0,200.6954,4.707999999999998,1570,10578
3,20352,2014-05-02,4,2.0,1820,5000,1.5,0,1,3,7,1640,180,1945,0,200.6815,4.731000000000009,2060,5000
4,10524,2014-05-02,4,1.75,1560,8700,1.0,0,0,4,7,1560,0,1967,0,200.7274,4.819000000000003,2080,8000
5,10390,2014-05-02,3,2.5,2540,5050,2.0,0,0,3,7,2540,0,2006,0,200.3358,4.944999999999993,2280,5050
6,16223,2014-05-02,4,2.0,1480,8625,1.0,0,0,4,7,1480,0,1974,0,200.462,4.807000000000002,2130,8502
7,9132,2014-05-02,3,1.0,1090,6435,1.0,0,0,4,7,1090,0,1955,0,200.5334,4.635000000000005,1340,6435
8,2271,2014-05-02,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,1991,0,200.7419,4.795000000000002,2730,10872
9,8831,2014-05-02,4,2.5,2200,9397,2.0,0,0,3,8,2200,0,1987,0,200.3406,4.731000000000009,2310,9176
10,12350,2014-05-02,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,200.5443,4.822999999999993,1850,9000
11,12475,2014-05-02,4,1.75,1600,6380,1.0,0,0,3,8,1130,470,1959,0,200.701,4.694000000000003,1090,6380
12,2101,2014-05-02,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,1979,0,200.5794,4.974999999999994,2820,48351
13,15493,2014-05-02,4,2.5,1940,10500,1.0,0,0,4,7,1140,800,1976,0,200.683,4.88600000000001,2200,10500
14,20169,2014-05-02,3,2.5,1770,1235,3.0,0,0,3,8,1600,170,2007,0,200.69650000000001,4.657999999999987,1680,1203
15,18667,2014-05-02,3,2.5,2680,5539,2.0,0,0,3,8,2680,0,2013,0,200.4761,5.266000000000005,2990,6037
16,5557,2014-05-02,4,1.0,1450,8800,1.0,0,0,4,7,1450,0,1954,0,200.5746,4.864999999999995,1260,8942
17,16071,2014-05-02,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,2014,0,200.7538,4.674999999999997,1300,8408
18,17448,2014-05-02,4,2.5,3310,6500,2.0,0,0,3,8,3310,0,2012,0,200.515,5.1299999999999955,2380,5000
19,12417,2014-05-02,2,1.0,880,6380,1.0,0,0,3,7,880,0,1938,1994,200.6924,4.677999999999997,1340,6380
20,16652,2014-05-02,3,2.5,2090,10834,1.0,0,0,4,8,1360,730,1987,0,200.3537,4.697000000000003,1750,8595
21,14588,2014-05-02,4,3.0,3110,7231,2.0,0,0,3,8,3110,0,1997,0,200.3279,4.8089999999999975,2820,7311
22,7280,2014-05-02,3,3.25,1320,1327,2.0,0,0,3,8,1040,280,2008,0,200.6506,4.617000000000004,1440,1263
23,9301,2014-05-02,2,2.5,1630,1368,2.0,0,0,3,7,1280,350,2009,0,200.5489,4.6370000000000005,1590,2306
24,13383,2014-05-02,4,2.75,2710,37277,2.0,0,0,3,9,2710,0,2000,0,200.4634,5.012999999999991,2390,39299
25,11728,2014-05-02,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,200.6552,4.722000000000008,2940,6600
26,11715,2014-05-02,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,200.6578,4.719999999999999,2470,4000
27,13993,2014-05-02,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,200.678,4.731000000000009,1910,6200
28,5550,2014-05-02,4,1.5,1920,10000,1.0,0,0,4,7,1070,850,1954,0,200.5725,4.867000000000004,1450,10836
29,5072,2014-05-02,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,200.7658,4.661000000000001,1480,7940
30,5597,2014-05-02,3,1.5,1570,6700,1.0,0,0,4,7,1570,0,1956,0,200.6022,4.866,1570,7300
31,14435,2014-05-02,3,2.5,1930,10460,2.0,0,0,3,8,1930,0,1996,0,200.4938,4.838999999999999,2290,8228
32,6654,2014-05-02,4,2.5,2710,35868,2.0,0,0,3,9,2710,0,1989,0,200.375,4.977999999999994,2780,36224
33,6804,2014-05-02,3,1.5,1200,9720,1.0,0,0,4,7,1200,0,1965,0,200.4225,4.847000000000008,1380,10284
34,4648,2014-05-02,5,2.5,3650,9050,2.0,0,4,5,10,3370,280,1921,0,200.6345,4.632999999999996,2880,5400
35,237,2014-05-02,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,2007,0,200.51330000000002,4.890000000000001,2730,111274
36,6405,2014-05-02,3,1.75,2360,7291,1.0,0,0,4,8,1360,1000,1948,0,200.5274,4.616,1860,5499
37,1593,2014-05-02,3,1.5,1180,10277,1.0,0,0,3,6,1180,0,1983,0,200.488,5.212999999999994,1680,11104
38,12368,2014-05-02,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,1957,0,200.4419,4.659999999999997,1960,10518
39,5051,2014-05-02,2,1.0,800,4850,1.0,0,0,4,7,800,0,1944,0,200.6639,4.63600000000001,1150,4365
40,5898,2014-05-02,4,2.5,3310,42998,2.0,0,0,3,9,3310,0,2001,0,200.7232,4.869,3350,42847
41,6095,2014-05-02,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,1968,0,200.2703,4.930999999999997,3000,125017
42,1027,2014-05-02,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,200.6833,4.599999999999994,2380,4750
43,4480,2014-05-02,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,1955,0,200.57139999999998,4.592000000000013,2010,6550
44,16527,2014-05-02,3,1.75,2330,14892,1.0,0,0,3,8,1970,360,1980,0,200.6267,4.9539999999999935,2570,14217
45,5178,2014-05-02,3,3.0,1850,19966,1.0,0,0,4,7,1090,760,1992,0,200.3493,4.966000000000008,1410,6715
46,16998,2014-05-02,3,1.75,1710,7320,1.0,0,0,3,7,1710,0,1948,0,200.75119999999998,4.718999999999994,2260,8839
47,1930,2014-05-02,3,2.25,1580,16215,1.0,0,0,4,7,1580,0,1978,0,200.5643,5.102999999999994,1450,16215
48,4984,2014-05-02,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,200.6498,4.679000000000002,2410,3050
49,12152,2014-05-02,2,1.0,850,6174,1.0,0,0,4,7,850,0,1950,0,200.7352,4.672000000000011,1100,6174
50,2975,2014-05-02,3,2.5,2430,88426,1.0,0,0,4,7,1570,860,1985,0,200.4828,5.282000000000011,1560,56827
51,11169,2014-05-02,3,2.25,2000,8030,1.0,0,0,4,8,1000,1000,1963,0,200.6188,4.88600000000001,2070,8250
52,7057,2014-05-02,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,2004,0,200.7735,4.842000000000013,2860,3596
53,16541,2014-05-02,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,200.5747,4.965000000000003,2590,37500
54,18989,2014-05-02,3,2.5,1270,1180,3.0,0,0,3,8,1270,0,2001,0,200.6697,4.60799999999999,1320,1180
55,4177,2014-05-02,5,2.5,2210,9655,1.0,0,0,3,8,1460,750,1976,0,200.7698,4.777999999999992,2080,8633
56,17185,2014-05-02,2,1.0,1210,9400,1.0,0,0,2,6,1210,0,1949,0,200.5342,4.640000000000001,1580,6026
57,4230,2014-05-02,3,1.0,1160,9180,1.0,0,0,3,7,1160,0,1968,0,200.7427,4.927999999999997,1160,10282
58,17338,2014-05-02,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,2006,0,200.5337,5.140000000000001,3320,11241
59,4705,2014-05-02,3,2.0,2710,4500,1.5,0,0,4,8,1880,830,1929,0,200.6747,4.704999999999998,2060,4500
60,5990,2014-05-02,3,2.5,1770,2875,2.0,0,0,3,8,1770,0,1990,0,200.5631,4.602999999999994,1770,3833
61,2773,2014-05-02,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,200.6845,4.798999999999992,2320,10814
62,13225,2014-05-02,3,2.0,1930,11947,1.0,0,0,4,8,1930,0,1966,0,200.3672,4.8489999999999895,2200,12825
63,5086,2014-05-02,3,1.75,1370,5858,1.0,0,0,3,7,1370,0,1987,0,200.38150000000002,4.687000000000012,1400,7500
64,13378,2014-05-02,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,200.4635,5.009,2340,35100
65,1223,2014-05-02,3,2.5,3240,33151,2.0,0,2,3,10,3240,0,1995,0,200.3256,4.622000000000014,4050,24967
66,8348,2014-05-02,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,200.2617,4.810000000000002,2830,80148
67,20755,2014-05-03,3,1.0,1010,9945,1.0,0,0,4,6,1010,0,1973,0,200.5324,5.237000000000009,1390,12710
68,3614,2014-05-03,3,2.5,1650,14054,1.0,0,0,4,7,1130,520,1986,0,200.4821,4.98299999999999,1940,87555
69,16947,2014-05-03,4,2.75,2920,6605,2.0,0,0,3,8,2920,0,2012,0,200.4909,4.856000000000009,3030,6605
70,18425,2014-05-03,2,1.0,900,5000,1.0,0,0,3,7,900,0,1944,0,200.6883,4.605000000000004,1280,5000
71,19024,2014-05-04,2,2.5,2680,7392,1.0,0,0,3,9,2680,0,2004,0,200.71699999999998,4.9739999999999895,2315,7045
72,21387,2014-05-04,3,2.5,2850,7130,2.0,0,0,3,10,1990,860,1980,0,200.603,4.7109999999999985,2280,6459
