index,price
0,340.0
1,289.0
2,755.0
3,655.0
4,387.5
5,305.0
6,265.0
7,370.0
8,617.5
9,290.0
10,445.0
11,500.0
12,680.0
13,555.0
14,441.11
15,464.99
16,440.0
17,630.0
18,560.0
19,495.0
20,290.0
21,372.5
22,390.0
23,300.0
24,635.0
25,1205.0
26,1405.0
27,645.0
28,435.0
29,318.0
30,424.0
31,412.5
32,487.0
33,247.5
34,2389.0
35,630.0
36,620.0
37,280.0
38,408.0
39,445.0
40,843.0
41,496.5
42,795.0
43,755.0
44,593.5
45,292.2
46,468.0
47,340.0
48,631.0
49,313.5
50,457.5
51,425.0
52,504.95
53,555.0
54,450.7
55,475.0
56,240.0
57,320.0
58,790.0
59,810.0
60,444.95
61,703.0
62,347.0
63,262.95
64,442.5
65,609.0
66,405.0
67,315.0
68,384.88
69,630.0
70,558.0
71,780.0
72,788.5
73,633.0
74,370.0
75,336.95
76,741.5
77,605.0
78,423.0
79,785.0
80,905.0
81,710.38
82,546.125
83,632.0
84,384.95
85,250.0
86,410.0
87,411.1
88,314.95
89,454.25
90,389.9
91,403.75
92,225.0
93,828.0
94,605.0
95,420.0
96,237.0
97,483.0
98,215.0
99,560.0
100,314.95
101,424.19
102,623.5
103,670.0
104,514.9
105,421.286
106,575.0
107,585.0
108,620.0
109,504.0
110,565.0
111,211.0
112,305.0
113,502.3
114,292.0
115,440.0
116,760.0
117,662.1
118,554.0
119,530.888
120,215.0
121,625.0
122,590.0
123,405.0
124,895.0
125,333.0
126,775.0
127,745.0
128,490.0
129,506.0
130,805.0
131,405.0
132,345.0
133,415.0
134,1035.0
135,2285.0
136,529.0
137,554.0
138,870.0
139,1095.0
140,536.0
141,254.95
142,835.0
143,492.585
144,224.9
145,345.0
146,805.866
147,1430.0
148,1400.0
149,334.95
150,371.75
151,636.625
152,717.198
153,792.0
154,655.0
155,836.0
156,675.0
157,189.0
158,895.0
159,860.0
160,655.0
161,1875.0
162,741.0
163,690.0
164,392.0
165,255.0
166,480.0
167,518.0
168,330.0
169,141.5
170,525.0
171,402.0
172,1055.0
173,1805.0
174,504.0
175,865.0
176,567.0
177,1140.0
178,566.0
179,730.126
180,202.0
181,409.0
182,535.0
183,984.0
184,180.0
185,493.0
186,540.0
187,680.0
188,470.0
189,318.95
190,617.5
191,530.0
192,474.0
193,585.0
194,223.0
195,358.0
196,289.0
197,395.0
198,660.5
199,604.0
200,390.0
201,83.0
202,489.0
203,465.0
204,412.0
205,224.0
206,580.0
207,365.0
208,523.0
209,538.0
210,460.0
211,488.5
212,196.0
213,350.0
214,655.0
215,430.0
216,372.5
217,455.0
218,317.0
219,611.0
220,568.0
221,285.0
222,1585.0
223,300.0
224,520.0
225,384.9
